Position,Squad,MP,W,D,L,GF,GA,GD,Points
1,Arsenal,14,10,3,1,27,7,20,33
2,Manchester City,14,9,1,4,32,16,16,28
3,Aston Villa,14,8,3,3,20,14,6,27
4,Chelsea,14,7,3,4,25,15,10,24
5,Crystal Palace,14,6,5,3,18,11,7,23
6,Sunderland,14,6,5,3,18,14,4,23
7,Brighton,14,6,4,4,24,20,4,22
8,Liverpool,14,7,1,6,21,21,0,22
9,Manchester Utd,13,6,3,4,21,20,1,21
10,Everton,14,6,3,5,15,17,-2,21
11,Tottenham,14,5,4,5,23,18,5,19
12,Newcastle Utd,14,5,4,5,19,18,1,19
13,Brentford,14,6,1,7,21,22,-1,19
14,Bournemouth,14,5,4,5,21,24,-3,19
15,Fulham,14,5,2,7,19,22,-3,17
16,Nott'ham Forest,14,4,3,7,14,22,-8,15
17,Leeds United,14,4,2,8,16,26,-10,14
18,West Ham,13,3,2,8,15,27,-12,11
19,Burnley,14,3,1,10,15,28,-13,10
20,Wolves,14,0,2,12,7,29,-22,2
